,latitude,longitude,price,water,wc,grey_water
372,48.09817,-4.2124,Paying,yes,unknown,yes
373,42.47809,-2.45729,Free,yes,no,unknown
374,39.33305,-5.47919,Free,yes,no,unknown
375,38.07944,-1.25806,Free,yes,no,yes
376,43.84024,10.4886,Paying,yes,yes,unknown
377,45.46066,10.63311,Paying,yes,yes,yes
378,43.00445,-7.56139,Free,yes,no,unknown
379,43.40706,-5.81086,Free,yes,no,yes
380,42.40932,-7.72207,Free,yes,no,yes
381,45.43396,7.22823,Paying,yes,yes,yes
382,42.63352,-8.85318,Free,yes,yes,unknown
383,41.53762,-6.95713,Free,yes,no,unknown
384,43.04908,-5.18356,Paying,yes,yes,yes
385,45.91843,9.31547,Paying,yes,no,yes
386,50.80368,8.77528,Paying,yes,yes,yes
387,43.67857,10.27903,Paying,yes,yes,yes
388,42.86634,9.34382,Paying,yes,no,yes
389,52.4565,5.10465,Paying,no,yes,unknown
390,37.88929,12.47127,Free,yes,yes,yes
391,46.8055,1.03811,Free,yes,yes,unknown
392,41.36806,1.77321,Free,yes,no,unknown
393,42.07503,3.09813,Paying,yes,yes,unknown
394,50.32236,7.22835,Free,yes,no,no
395,41.17138,-2.43203,Free,yes,no,unknown
396,68.4941,14.81341,Paying,yes,unknown,yes
397,47.40462,-2.49115,Free,no,no,unknown
398,43.81613,-1.40081,Paying,yes,yes,unknown
399,43.43304,0.30922,Free,yes,yes,yes
400,44.21276,-1.2821,Paying,yes,no,unknown
401,43.08502,1.87394,Free,yes,yes,yes
402,43.42769,-7.37014,Free,yes,no,unknown
403,50.554,6.2322,Paying,yes,no,yes
404,42.50764,2.12249,Paying,yes,no,yes
405,47.50663,6.79132,Free,yes,no,unknown
406,45.21796,-0.18348,Free,yes,yes,yes
407,47.15773,1.20173,Free,yes,no,yes
408,41.91864,0.18939,Free,yes,yes,yes
409,40.62407,-0.09144,Free,yes,no,unknown
410,48.57417,-3.83156,Free,yes,yes,yes
411,46.55806,3.32464,Paying,yes,no,yes
412,46.33329,0.81055,Free,yes,yes,unknown
413,38.03972,-1.48139,Free,yes,no,yes
414,46.37796,-0.06916,Free,yes,unknown,yes
415,43.09903,-9.21275,Free,yes,no,yes
416,48.69226,6.19342,Paying,yes,yes,unknown
417,46.15671,5.60363,Paying,yes,yes,unknown
418,41.75669,1.90929,Free,yes,no,unknown
419,43.40394,-6.54168,Free,yes,yes,yes
420,43.545,-6.72217,Free,yes,yes,yes
421,42.91201,-8.73342,Free,yes,no,yes
422,40.78257,17.23397,Paying,yes,no,yes
423,47.0008,-2.25208,Paying,yes,no,yes
424,48.85535,10.48438,Free,yes,yes,yes
425,46.77252,6.03648,Paying,yes,yes,unknown
426,43.53751,-7.93867,Free,yes,yes,yes
427,42.27555,-8.83372,Paying,yes,unknown,yes
428,43.02792,-2.40563,Free,yes,yes,yes
