WKT,nombre,descripción,,,,,,
POINT (-0.1527 38.93856 0.0),Area AC Camper Park Km Zero  (12 eur/24 h.,Agua:si,vaciado:si,WC:si, Duchas:si, elect:si),,
POINT (2.58947 44.568 0.0),Area Ac Campuac  (Gratuito,Agua:si,WC:si,Vaciado:si,Elect:no),,,
POINT (-5.77208 43.58487 0.0),Area Ac Candas  (Gratuito,Agua:si,Wc:no,Vaciado,si,Elec:no),,
POINT (-5.12553 43.3526 0.0),Area Ac Cangas de Onis  Gratuito: Si, Pernocta: Si, WC: No, Agua: Si,,,,
POINT (-8.79764 42.25536 0.0),Area AC Cangas do Morrazo  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-0.40742 40.52591 0.0),Area Ac Cantavieja  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elect:?),,,
POINT (-1.44719 43.63606 0.0),Area Ac Capbreton  (16 eur/noche,Agua:si,WC:si,vaciado:si,Elect:?),,,
POINT (-1.23041 41.33796 0.0),Area Ac CariÃ±ena  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elect:no),,,
POINT (-7.87437 43.73358 0.0),Area AC CariÃ±o  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-3.08237 47.58462 0.0),Area Ac Carnac  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (-9.09585 42.84105 0.0),Area ac Carnota  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-4.608 42.33812 0.0),Area AC Carrion de los Condes  Gratuito: Si Agua: Si WC: No,,,,,,,
POINT (-0.93416 43.47287 0.0),Area Ac Cars du Herre (Salies-de-Bearn)  (7eur/noche,Agua:si,Wc:no,Vaciado:Si,Electr:no),,,
POINT (-1.00549 37.61503 0.0),Area Ac Cartagena  (Precio:11eur/noche,Agua:si,Wc:si,Vaciado:si,Elec:si),,,
POINT (-0.5835 45.18262 0.0),Area AC Cartelegue  (Gratuito,Agua:si 3 euros,vaciado:si,WC:no, electric,3 euros),,
POINT (-2.91472 42.54583 0.0),Area Ac Casalarreina  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (8.73269 44.63341 0.0),Area AC Casaleggio Boiro  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (0.07896 44.31055 0.0),Area AC Casteljaloux,,,,,,,
